Dataset,Set,Approach,Metric,Value,Method,File,Specs
AISHELL-4,,Baseline,Purity,0.41679,,S_R004S02C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.99505,,S_R004S02C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.73304,,S_R003S03C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.91724,,S_R003S03C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.39544,,S_R003S03C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.9772,,S_R003S03C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.72783,,S_R004S04C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.92619,,S_R004S04C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.34335,,S_R004S04C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.97896,,S_R004S04C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.73046,,L_R003S04C02,xvec_ahc
AISHELL-4,,Baseline,JER,0.92612,,L_R003S04C02,xvec_ahc
AISHELL-4,,Baseline,Purity,0.60481,,L_R003S04C02,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.95146,,L_R003S04C02,xvec_ahc
AISHELL-4,,Baseline,DER,0.90597,,L_R003S02C02,xvec_ahc
AISHELL-4,,Baseline,JER,0.96802,,L_R003S02C02,xvec_ahc
AISHELL-4,,Baseline,Purity,0.27882,,L_R003S02C02,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.95327,,L_R003S02C02,xvec_ahc
AISHELL-4,,Baseline,DER,0.69379,,S_R003S04C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.92044,,S_R003S04C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.37232,,S_R003S04C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.99715,,S_R003S04C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.5535,,S_R004S01C01,xvec_sc
AISHELL-4,,Baseline,JER,0.79871,,S_R004S01C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.63666,,S_R004S01C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.97901,,S_R004S01C01,xvec_sc
