Dataset,Set,Version,Approach,Metric,Value,Method,File
AISHELL-4,,3.1,Baseline,DER,0.18831,WhisperX,L_R004S06C01
AISHELL-4,,3.1,Baseline,JER,0.27519,WhisperX,L_R004S06C01
AISHELL-4,,3.1,Baseline,Purity,0.92346,WhisperX,L_R004S06C01
AISHELL-4,,3.1,Baseline,Coverage,0.97294,WhisperX,L_R004S06C01
AISHELL-4,,3.1,Baseline,DER,0.31037,WhisperX,M_R003S02C01
AISHELL-4,,3.1,Baseline,JER,0.36762,WhisperX,M_R003S02C01
AISHELL-4,,3.1,Baseline,Purity,0.81673,WhisperX,M_R003S02C01
AISHELL-4,,3.1,Baseline,Coverage,0.78659,WhisperX,M_R003S02C01
AISHELL-4,,3.1,Baseline,DER,0.10947,WhisperX,S_R004S03C01
AISHELL-4,,3.1,Baseline,JER,0.11671,WhisperX,S_R004S03C01
AISHELL-4,,3.1,Baseline,Purity,0.9962,WhisperX,S_R004S03C01
AISHELL-4,,3.1,Baseline,Coverage,0.98712,WhisperX,S_R004S03C01
AISHELL-4,,3.1,Baseline,DER,0.31488,WhisperX,L_R003S01C02
AISHELL-4,,3.1,Baseline,JER,0.47469,WhisperX,L_R003S01C02
AISHELL-4,,3.1,Baseline,Purity,0.80432,WhisperX,L_R003S01C02
AISHELL-4,,3.1,Baseline,Coverage,0.8183,WhisperX,L_R003S01C02
AISHELL-4,,3.1,Baseline,DER,0.30446,WhisperX,L_R004S03C01
AISHELL-4,,3.1,Baseline,JER,0.529,WhisperX,L_R004S03C01
AISHELL-4,,3.1,Baseline,Purity,0.75318,WhisperX,L_R004S03C01
AISHELL-4,,3.1,Baseline,Coverage,0.76994,WhisperX,L_R004S03C01
AISHELL-4,,3.1,Baseline,DER,0.3618,WhisperX,M_R003S05C01
AISHELL-4,,3.1,Baseline,JER,0.39554,WhisperX,M_R003S05C01
AISHELL-4,,3.1,Baseline,Purity,0.79555,WhisperX,M_R003S05C01
AISHELL-4,,3.1,Baseline,Coverage,0.79313,WhisperX,M_R003S05C01
AISHELL-4,,3.1,Baseline,DER,0.22706,WhisperX,L_R004S01C01
AISHELL-4,,3.1,Baseline,JER,0.35012,WhisperX,L_R004S01C01
AISHELL-4,,3.1,Baseline,Purity,0.88929,WhisperX,L_R004S01C01
AISHELL-4,,3.1,Baseline,Coverage,0.88929,WhisperX,L_R004S01C01
AISHELL-4,,3.1,Baseline,DER,0.22409,WhisperX,S_R003S01C01
AISHELL-4,,3.1,Baseline,JER,0.32299,WhisperX,S_R003S01C01
AISHELL-4,,3.1,Baseline,Purity,0.87502,WhisperX,S_R003S01C01
AISHELL-4,,3.1,Baseline,Coverage,0.87502,WhisperX,S_R003S01C01
AISHELL-4,,3.1,Baseline,DER,0.31898,WhisperX,L_R004S02C01
AISHELL-4,,3.1,Baseline,JER,0.55274,WhisperX,L_R004S02C01
AISHELL-4,,3.1,Baseline,Purity,0.76589,WhisperX,L_R004S02C01
AISHELL-4,,3.1,Baseline,Coverage,0.78401,WhisperX,L_R004S02C01
AISHELL-4,,3.1,Baseline,DER,0.21064,WhisperX,S_R003S02C01
AISHELL-4,,3.1,Baseline,JER,0.3028,WhisperX,S_R003S02C01
AISHELL-4,,3.1,Baseline,Purity,0.90718,WhisperX,S_R003S02C01
AISHELL-4,,3.1,Baseline,Coverage,0.90772,WhisperX,S_R003S02C01
AISHELL-4,,3.1,Baseline,DER,0.30444,WhisperX,M_R003S01C01
AISHELL-4,,3.1,Baseline,JER,0.3261,WhisperX,M_R003S01C01
AISHELL-4,,3.1,Baseline,Purity,0.8588,WhisperX,M_R003S01C01
AISHELL-4,,3.1,Baseline,Coverage,0.84664,WhisperX,M_R003S01C01
AISHELL-4,,3.1,Baseline,DER,0.14776,WhisperX,S_R004S02C01
AISHELL-4,,3.1,Baseline,JER,0.19533,WhisperX,S_R004S02C01
AISHELL-4,,3.1,Baseline,Purity,0.96518,WhisperX,S_R004S02C01
AISHELL-4,,3.1,Baseline,Coverage,0.96412,WhisperX,S_R004S02C01
AISHELL-4,,3.1,Baseline,DER,0.23868,WhisperX,S_R003S03C01
AISHELL-4,,3.1,Baseline,JER,0.26158,WhisperX,S_R003S03C01
AISHELL-4,,3.1,Baseline,Purity,0.90816,WhisperX,S_R003S03C01
AISHELL-4,,3.1,Baseline,Coverage,0.89857,WhisperX,S_R003S03C01
AISHELL-4,,3.1,Baseline,DER,0.12853,WhisperX,S_R004S04C01
AISHELL-4,,3.1,Baseline,JER,0.14012,WhisperX,S_R004S04C01
AISHELL-4,,3.1,Baseline,Purity,0.97916,WhisperX,S_R004S04C01
AISHELL-4,,3.1,Baseline,Coverage,0.97916,WhisperX,S_R004S04C01
AISHELL-4,,3.1,Baseline,DER,0.26714,WhisperX,L_R003S04C02
AISHELL-4,,3.1,Baseline,JER,0.34517,WhisperX,L_R003S04C02
AISHELL-4,,3.1,Baseline,Purity,0.90958,WhisperX,L_R003S04C02
AISHELL-4,,3.1,Baseline,Coverage,0.90958,WhisperX,L_R003S04C02
AISHELL-4,,3.1,Baseline,DER,0.22173,WhisperX,L_R003S02C02
AISHELL-4,,3.1,Baseline,JER,0.31515,WhisperX,L_R003S02C02
AISHELL-4,,3.1,Baseline,Purity,0.91305,WhisperX,L_R003S02C02
AISHELL-4,,3.1,Baseline,Coverage,0.91305,WhisperX,L_R003S02C02
AISHELL-4,,3.1,Baseline,DER,0.32614,WhisperX,S_R003S04C01
AISHELL-4,,3.1,Baseline,JER,0.47503,WhisperX,S_R003S04C01
AISHELL-4,,3.1,Baseline,Purity,0.75551,WhisperX,S_R003S04C01
AISHELL-4,,3.1,Baseline,Coverage,0.75161,WhisperX,S_R003S04C01
AISHELL-4,,2.1,Exact,DER,0.28295,WhisperX,S_R004S01C01
AISHELL-4,,2.1,Exact,JER,0.42361,WhisperX,S_R004S01C01
AISHELL-4,,2.1,Exact,Purity,0.84258,WhisperX,S_R004S01C01
AISHELL-4,,2.1,Exact,Coverage,0.96941,WhisperX,S_R004S01C01
AISHELL-4,,2.1,Exact,DER,0.40549,WhisperX,L_R003S03C02
AISHELL-4,,2.1,Exact,JER,0.56199,WhisperX,L_R003S03C02
AISHELL-4,,2.1,Exact,Purity,0.70748,WhisperX,L_R003S03C02
AISHELL-4,,2.1,Exact,Coverage,0.80846,WhisperX,L_R003S03C02
AISHELL-4,,2.1,Exact,DER,0.51256,WhisperX,M_R003S04C01
AISHELL-4,,2.1,Exact,JER,0.54331,WhisperX,M_R003S04C01
AISHELL-4,,2.1,Exact,Purity,0.67084,WhisperX,M_R003S04C01
AISHELL-4,,2.1,Exact,Coverage,0.75516,WhisperX,M_R003S04C01
AISHELL-4,,2.1,Exact,DER,0.18835,WhisperX,L_R004S06C01
AISHELL-4,,2.1,Exact,JER,0.27607,WhisperX,L_R004S06C01
AISHELL-4,,2.1,Exact,Purity,0.92343,WhisperX,L_R004S06C01
AISHELL-4,,2.1,Exact,Coverage,0.97291,WhisperX,L_R004S06C01
AISHELL-4,,2.1,Exact,DER,0.36524,WhisperX,M_R003S02C01
AISHELL-4,,2.1,Exact,JER,0.48485,WhisperX,M_R003S02C01
AISHELL-4,,2.1,Exact,Purity,0.72634,WhisperX,M_R003S02C01
AISHELL-4,,2.1,Exact,Coverage,0.82621,WhisperX,M_R003S02C01
