Dataset,Set,Approach,Metric,Value,Method,File
VoxConverse,,Baseline,Coverage,0.26722,,ikhje
VoxConverse,,Baseline,DER,0.81875,,mjmgr
VoxConverse,,Baseline,JER,0.84569,,mjmgr
VoxConverse,,Baseline,Purity,0.88544,,mjmgr
VoxConverse,,Baseline,Coverage,0.28518,,mjmgr
VoxConverse,,Baseline,DER,0.76849,,fpfvy
VoxConverse,,Baseline,JER,0.87871,,fpfvy
VoxConverse,,Baseline,Purity,0.64497,,fpfvy
VoxConverse,,Baseline,Coverage,0.39001,,fpfvy
VoxConverse,,Baseline,DER,0.65466,,ljpes
VoxConverse,,Baseline,JER,0.6926,,ljpes
VoxConverse,,Baseline,Purity,0.7919,,ljpes
VoxConverse,,Baseline,Coverage,0.43628,,ljpes
VoxConverse,,Baseline,DER,1.14654,,ooxlj
VoxConverse,,Baseline,JER,0.82812,,ooxlj
VoxConverse,,Baseline,Purity,1.0,,ooxlj
VoxConverse,,Baseline,Coverage,0.17589,,ooxlj
VoxConverse,,Baseline,DER,1.21963,,gcfwp
VoxConverse,,Baseline,JER,0.91459,,gcfwp
VoxConverse,,Baseline,Purity,0.73002,,gcfwp
VoxConverse,,Baseline,Coverage,0.23916,,gcfwp
VoxConverse,,Baseline,DER,0.73769,,dkabn
VoxConverse,,Baseline,JER,0.73363,,dkabn
VoxConverse,,Baseline,Purity,0.58855,,dkabn
VoxConverse,,Baseline,Coverage,0.40223,,dkabn
VoxConverse,,Baseline,DER,0.88985,,qoarn
VoxConverse,,Baseline,JER,0.89368,,qoarn
VoxConverse,,Baseline,Purity,0.51402,,qoarn
VoxConverse,,Baseline,Coverage,0.24766,,qoarn
VoxConverse,,Baseline,DER,0.8057,,lbfnx
VoxConverse,,Baseline,JER,0.89013,,lbfnx
VoxConverse,,Baseline,Purity,0.44283,,lbfnx
VoxConverse,,Baseline,Coverage,0.35406,,lbfnx
VoxConverse,,Baseline,DER,0.83382,,byapz
VoxConverse,,Baseline,JER,0.93971,,byapz
VoxConverse,,Baseline,Purity,0.69911,,byapz
VoxConverse,,Baseline,Coverage,0.35997,,byapz
VoxConverse,,Baseline,DER,1.00584,,vgaez
VoxConverse,,Baseline,JER,0.76655,,vgaez
VoxConverse,,Baseline,Purity,0.55017,,vgaez
VoxConverse,,Baseline,Coverage,0.32175,,vgaez
VoxConverse,,Baseline,DER,0.68859,,oqwpd
VoxConverse,,Baseline,JER,0.70874,,oqwpd
VoxConverse,,Baseline,Purity,0.71493,,oqwpd
VoxConverse,,Baseline,Coverage,0.33927,,oqwpd
VoxConverse,,Baseline,DER,0.60639,,jdrwl
VoxConverse,,Baseline,JER,0.74789,,jdrwl
VoxConverse,,Baseline,Purity,0.58729,,jdrwl
VoxConverse,,Baseline,Coverage,0.42696,,jdrwl
VoxConverse,,Baseline,DER,0.7713,,upshw
VoxConverse,,Baseline,JER,0.85827,,upshw
VoxConverse,,Baseline,Purity,0.44388,,upshw
VoxConverse,,Baseline,Coverage,0.28817,,upshw
VoxConverse,,Baseline,DER,0.80316,,nkqzr
VoxConverse,,Baseline,JER,0.89478,,nkqzr
VoxConverse,,Baseline,Purity,0.54162,,nkqzr
VoxConverse,,Baseline,Coverage,0.2892,,nkqzr
VoxConverse,,Baseline,DER,0.68459,,wlfsf
VoxConverse,,Baseline,JER,0.83539,,wlfsf
VoxConverse,,Baseline,Purity,0.40859,,wlfsf
VoxConverse,,Baseline,Coverage,0.46122,,wlfsf
VoxConverse,,Baseline,DER,0.71319,,gtjow
VoxConverse,,Baseline,JER,0.71172,,gtjow
VoxConverse,,Baseline,Purity,0.57834,,gtjow
VoxConverse,,Baseline,Coverage,0.34301,,gtjow
VoxConverse,,Baseline,DER,0.71198,,fqrnu
VoxConverse,,Baseline,JER,0.72703,,fqrnu
VoxConverse,,Baseline,Purity,0.71922,,fqrnu
VoxConverse,,Baseline,Coverage,0.3545,,fqrnu
VoxConverse,,Baseline,DER,1.90662,,zztbo
VoxConverse,,Baseline,JER,0.78873,,zztbo
VoxConverse,,Baseline,Purity,1.0,,zztbo
VoxConverse,,Baseline,Coverage,0.22606,,zztbo
VoxConverse,,Baseline,DER,0.79249,,hhepf
VoxConverse,,Baseline,JER,0.80066,,hhepf
VoxConverse,,Baseline,Purity,0.48592,,hhepf
VoxConverse,,Baseline,Coverage,0.31167,,hhepf
VoxConverse,,Baseline,DER,0.81459,,neiye
VoxConverse,,Baseline,JER,0.7815,,neiye
VoxConverse,,Baseline,Purity,1.0,,neiye
VoxConverse,,Baseline,Coverage,0.2185,,neiye
VoxConverse,,Baseline,DER,0.81658,,lkikz
VoxConverse,,Baseline,JER,0.73656,,lkikz
VoxConverse,,Baseline,Purity,0.84374,,lkikz
VoxConverse,,Baseline,Coverage,0.25222,,lkikz
VoxConverse,,Baseline,DER,0.79502,,eauve
VoxConverse,,Baseline,JER,0.89379,,eauve
VoxConverse,,Baseline,Purity,0.73593,,eauve
VoxConverse,,Baseline,Coverage,0.22787,,eauve
VoxConverse,,Baseline,DER,0.8293,,jxydp
VoxConverse,,Baseline,JER,0.82907,,jxydp
VoxConverse,,Baseline,Purity,1.0,,jxydp
VoxConverse,,Baseline,Coverage,0.17117,,jxydp
VoxConverse,,Baseline,DER,0.67277,,rpkso
VoxConverse,,Baseline,JER,0.78139,,rpkso
