Data Set,Set,Version,Approach,Metric,Value,Method,File
AISHELL-4,,3.1,Baseline,Coverage,0.99085,PyAnnote,L_R004S06C01
AISHELL-4,,3.1,Baseline,DER,0.11791,PyAnnote,M_R003S02C01
AISHELL-4,,3.1,Baseline,JER,0.16154,PyAnnote,M_R003S02C01
AISHELL-4,,3.1,Baseline,Purity,0.83301,PyAnnote,M_R003S02C01
AISHELL-4,,3.1,Baseline,Coverage,0.82694,PyAnnote,M_R003S02C01
AISHELL-4,,3.1,Baseline,DER,0.02814,PyAnnote,S_R004S03C01
AISHELL-4,,3.1,Baseline,JER,0.02909,PyAnnote,S_R004S03C01
AISHELL-4,,3.1,Baseline,Purity,0.99925,PyAnnote,S_R004S03C01
AISHELL-4,,3.1,Baseline,Coverage,0.99925,PyAnnote,S_R004S03C01
AISHELL-4,,3.1,Baseline,DER,0.16464,PyAnnote,L_R003S01C02
AISHELL-4,,3.1,Baseline,JER,0.24837,PyAnnote,L_R003S01C02
AISHELL-4,,3.1,Baseline,Purity,0.80912,PyAnnote,L_R003S01C02
AISHELL-4,,3.1,Baseline,Coverage,0.78686,PyAnnote,L_R003S01C02
AISHELL-4,,3.1,Baseline,DER,0.12247,PyAnnote,L_R004S03C01
AISHELL-4,,3.1,Baseline,JER,0.28311,PyAnnote,L_R004S03C01
AISHELL-4,,3.1,Baseline,Purity,0.83374,PyAnnote,L_R004S03C01
AISHELL-4,,3.1,Baseline,Coverage,0.84982,PyAnnote,L_R004S03C01
AISHELL-4,,3.1,Baseline,DER,0.17174,PyAnnote,M_R003S05C01
AISHELL-4,,3.1,Baseline,JER,0.18163,PyAnnote,M_R003S05C01
AISHELL-4,,3.1,Baseline,Purity,0.82829,PyAnnote,M_R003S05C01
AISHELL-4,,3.1,Baseline,Coverage,0.81669,PyAnnote,M_R003S05C01
AISHELL-4,,3.1,Baseline,DER,0.07147,PyAnnote,L_R004S01C01
AISHELL-4,,3.1,Baseline,JER,0.13312,PyAnnote,L_R004S01C01
AISHELL-4,,3.1,Baseline,Purity,0.94123,PyAnnote,L_R004S01C01
AISHELL-4,,3.1,Baseline,Coverage,0.93655,PyAnnote,L_R004S01C01
AISHELL-4,,3.1,Baseline,DER,0.12692,PyAnnote,S_R003S01C01
AISHELL-4,,3.1,Baseline,JER,0.18687,PyAnnote,S_R003S01C01
AISHELL-4,,3.1,Baseline,Purity,0.88048,PyAnnote,S_R003S01C01
AISHELL-4,,3.1,Baseline,Coverage,0.87829,PyAnnote,S_R003S01C01
AISHELL-4,,3.1,Baseline,DER,0.12171,PyAnnote,L_R004S02C01
AISHELL-4,,3.1,Baseline,JER,0.30644,PyAnnote,L_R004S02C01
AISHELL-4,,3.1,Baseline,Purity,0.86531,PyAnnote,L_R004S02C01
AISHELL-4,,3.1,Baseline,Coverage,0.87315,PyAnnote,L_R004S02C01
AISHELL-4,,3.1,Baseline,DER,0.11706,PyAnnote,S_R003S02C01
AISHELL-4,,3.1,Baseline,JER,0.1578,PyAnnote,S_R003S02C01
AISHELL-4,,3.1,Baseline,Purity,0.91669,PyAnnote,S_R003S02C01
AISHELL-4,,3.1,Baseline,Coverage,0.90719,PyAnnote,S_R003S02C01
AISHELL-4,,3.1,Baseline,DER,0.13741,PyAnnote,M_R003S01C01
AISHELL-4,,3.1,Baseline,JER,0.15473,PyAnnote,M_R003S01C01
AISHELL-4,,3.1,Baseline,Purity,0.87206,PyAnnote,M_R003S01C01
AISHELL-4,,3.1,Baseline,Coverage,0.84933,PyAnnote,M_R003S01C01
AISHELL-4,,3.1,Baseline,DER,0.05439,PyAnnote,S_R004S02C01
AISHELL-4,,3.1,Baseline,JER,0.09093,PyAnnote,S_R004S02C01
AISHELL-4,,3.1,Baseline,Purity,0.97493,PyAnnote,S_R004S02C01
AISHELL-4,,3.1,Baseline,Coverage,0.97493,PyAnnote,S_R004S02C01
AISHELL-4,,3.1,Baseline,DER,0.11396,PyAnnote,S_R003S03C01
AISHELL-4,,3.1,Baseline,JER,0.11636,PyAnnote,S_R003S03C01
AISHELL-4,,3.1,Baseline,Purity,0.92847,PyAnnote,S_R003S03C01
AISHELL-4,,3.1,Baseline,Coverage,0.91625,PyAnnote,S_R003S03C01
AISHELL-4,,3.1,Baseline,DER,0.04722,PyAnnote,S_R004S04C01
AISHELL-4,,3.1,Baseline,JER,0.05664,PyAnnote,S_R004S04C01
AISHELL-4,,3.1,Baseline,Purity,0.9807,PyAnnote,S_R004S04C01
AISHELL-4,,3.1,Baseline,Coverage,0.9807,PyAnnote,S_R004S04C01
AISHELL-4,,3.1,Baseline,DER,0.12932,PyAnnote,L_R003S04C02
AISHELL-4,,3.1,Baseline,JER,0.18429,PyAnnote,L_R003S04C02
AISHELL-4,,3.1,Baseline,Purity,0.92706,PyAnnote,L_R003S04C02
AISHELL-4,,3.1,Baseline,Coverage,0.91091,PyAnnote,L_R003S04C02
AISHELL-4,,3.1,Baseline,DER,0.1071,PyAnnote,L_R003S02C02
AISHELL-4,,3.1,Baseline,JER,0.16531,PyAnnote,L_R003S02C02
AISHELL-4,,3.1,Baseline,Purity,0.91445,PyAnnote,L_R003S02C02
AISHELL-4,,3.1,Baseline,Coverage,0.90426,PyAnnote,L_R003S02C02
AISHELL-4,,3.1,Baseline,DER,0.17629,PyAnnote,S_R003S04C01
AISHELL-4,,3.1,Baseline,JER,0.27161,PyAnnote,S_R003S04C01
AISHELL-4,,3.1,Baseline,Purity,0.7729,PyAnnote,S_R003S04C01
AISHELL-4,,3.1,Baseline,Coverage,0.74894,PyAnnote,S_R003S04C01
AISHELL-4,,2.1,Exact,DER,0.17428,PyAnnote,S_R004S01C01
AISHELL-4,,2.1,Exact,JER,0.30822,PyAnnote,S_R004S01C01
AISHELL-4,,2.1,Exact,Purity,0.85061,PyAnnote,S_R004S01C01
AISHELL-4,,2.1,Exact,Coverage,0.97152,PyAnnote,S_R004S01C01
AISHELL-4,,2.1,Exact,DER,0.19237,PyAnnote,L_R003S03C02
AISHELL-4,,2.1,Exact,JER,0.35232,PyAnnote,L_R003S03C02
AISHELL-4,,2.1,Exact,Purity,0.77263,PyAnnote,L_R003S03C02
AISHELL-4,,2.1,Exact,Coverage,0.77562,PyAnnote,L_R003S03C02
AISHELL-4,,2.1,Exact,DER,0.31493,PyAnnote,M_R003S04C01
AISHELL-4,,2.1,Exact,JER,0.38481,PyAnnote,M_R003S04C01
AISHELL-4,,2.1,Exact,Purity,0.7134,PyAnnote,M_R003S04C01
