D,Spk,OS,SNR,JER
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],13.536
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],5.978
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],27.345
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(20.0 - 24.8],88.002
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(24.8 - 29.0],23.221
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(7.0 - 10.0],70.872
(2.033 - 5.318],[1 - 2],(1.0 - 2.0],(29.0 - 35.0],12.637
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],33.823
(18.792 - 30.494],[1 - 2],(2.0 - 3.0],(29.0 - 35.0],12.977
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],68.443
(5.318 - 18.792],(7 - 10],(9.0 - 14.0],(7.0 - 10.0],73.105
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],21.988
(0.411 - 0.522],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],42.563
(5.318 - 18.792],(4 - 5],(3.0 - 5.0],(29.0 - 35.0],14.543
(5.318 - 18.792],(4 - 5],(3.0 - 5.0],(13.0 - 16.0],46.251
(18.792 - 30.494],[1 - 2],(1.0 - 2.0],(35.0 - 59.0],12.652
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],3.146
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(24.8 - 29.0],75.043
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],74.012
(2.033 - 5.318],(2 - 3],(14.0 - 93.0],(16.0 - 20.0],37.676
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],62.779
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],66.051
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],12.371
