D,Spk,OS,SNR,DER
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],49.57
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],46.99
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],113.927
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],21.087
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],20.68
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],43.459
(30.494 - 34.87],[1 - 2],(2.0 - 3.0],(13.0 - 16.0],234.031
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],77.697
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],22.219
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],45.401
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],23.249
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],104.024
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],25.613
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],163.868
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],39.968
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],37.344
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],15.976
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],117.911
(30.494 - 34.87],[1 - 2],(1.0 - 2.0],(16.0 - 20.0],140.338
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],77.745
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],49.26
