D,Spk,OS,SNR,Coverage
(3.204 - 11.811],(4 - 5],(3.0 - 5.0],(29.0 - 36.0],38.646
(11.811 - 20.001],(4 - 5],(3.0 - 5.0],(13.0 - 17.0],31.561
(11.811 - 20.001],[1 - 2],(1.0 - 2.0],(36.0 - 59.0],29.693
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],19.49
(11.811 - 20.001],(5 - 7],(2.0 - 3.0],(25.0 - 29.0],18.89
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(13.0 - 17.0],25.262
(1.466 - 3.204],(2 - 3],(13.0 - 63.0],(17.0 - 21.0],23.344
(3.204 - 11.811],(3 - 4],(5.0 - 8.0],(17.0 - 21.0],25.219
(11.811 - 20.001],(7 - 10],(3.0 - 5.0],(25.0 - 29.0],30.739
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],27.857
(1.466 - 3.204],(4 - 5],[0.0 - 1.0],(21.0 - 25.0],40.887
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],16.536
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],31.167
(3.204 - 11.811],(5 - 7],(3.0 - 5.0],(29.0 - 36.0],24.921
(11.811 - 20.001],(10 - 41],(5.0 - 8.0],(25.0 - 29.0],30.896
(11.811 - 20.001],(10 - 41],(8.0 - 13.0],(21.0 - 25.0],32.438
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(13.0 - 17.0],26.361
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],17.466
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],23.414
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(21.0 - 25.0],53.887
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(8.0 - 10.0],38.128
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(13.0 - 17.0],31.009
(31.029 - 34.876],(3 - 4],(13.0 - 63.0],(10.0 - 13.0],25.037
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(8.0 - 10.0],34.787
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],29.391
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(4.0 - 8.0],29.194
(20.001 - 31.029],(3 - 4],(13.0 - 63.0],(10.0 - 13.0],24.287
(20.001 - 31.029],(2 - 3],[0.0 - 1.0],(13.0 - 17.0],36.604
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],30.546
(34.876 - 95.677],(3 - 4],(8.0 - 13.0],(21.0 - 25.0],25.437
(20.001 - 31.029],(2 - 3],(1.0 - 2.0],(13.0 - 17.0],28.063
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],36.329
(31.029 - 34.876],(3 - 4],(2.0 - 3.0],(17.0 - 21.0],25.481
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],25.267
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],23.443
(31.029 - 34.876],(3 - 4],(8.0 - 13.0],(17.0 - 21.0],32.22
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],28.408
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],27.042
