D,Spk,OS,SNR,JER
(18.792 - 30.494],(2 - 3],[0.0 - 1.0],(13.0 - 16.0],13.259
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],10.866
(34.87 - 95.677],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],34.324
(30.494 - 34.87],(2 - 3],(1.0 - 2.0],(13.0 - 16.0],58.13
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],8.202
(30.494 - 34.87],(3 - 4],(2.0 - 3.0],(16.0 - 20.0],63.665
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],10.76
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],7.946
(30.494 - 34.87],(3 - 4],(9.0 - 14.0],(16.0 - 20.0],27.153
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],4.539
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],17.972
(30.494 - 34.87],(3 - 4],(14.0 - 93.0],(13.0 - 16.0],54.267
(30.494 - 34.87],[1 - 2],(2.0 - 3.0],(16.0 - 20.0],8.176
(30.494 - 34.87],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],30.079
(30.494 - 34.87],(3 - 4],(1.0 - 2.0],(16.0 - 20.0],42.88
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],14.208
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],13.116
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],7.402
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],13.384
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],21.39
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],23.258
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],19.554
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],16.747
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],16.515
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],7.686
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],14.892
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],14.49
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],27.719
(30.494 - 34.87],[1 - 2],(2.0 - 3.0],(13.0 - 16.0],19.511
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],6.918
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],15.129
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],17.135
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],8.351
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],15.758
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],13.422
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],11.861
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],11.725
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],14.494
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],13.881
