D,Spk,OS,SNR,JER
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],52.752
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],9.431
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(29.0 - 35.0],57.107
(5.318 - 18.792],(10 - 41],(5.0 - 9.0],(24.8 - 29.0],45.91
(18.792 - 30.494],(10 - 41],(9.0 - 14.0],(20.0 - 24.8],65.447
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],39.3
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],52.032
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],34.366
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(20.0 - 24.8],64.344
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(7.0 - 10.0],44.653
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(16.0 - 20.0],44.756
(30.494 - 34.87],(3 - 4],(14.0 - 93.0],(10.0 - 13.0],75.959
(30.494 - 34.87],(2 - 3],[0.0 - 1.0],(7.0 - 10.0],71.435
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],22.575
(30.494 - 34.87],(2 - 3],[0.0 - 1.0],(7.0 - 10.0],85.694
(18.792 - 30.494],(3 - 4],(14.0 - 93.0],(10.0 - 13.0],79.358
(18.792 - 30.494],(2 - 3],[0.0 - 1.0],(13.0 - 16.0],37.994
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],20.14
(34.87 - 95.677],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],60.888
(30.494 - 34.87],(2 - 3],(1.0 - 2.0],(13.0 - 16.0],61.879
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],24.332
(30.494 - 34.87],(3 - 4],(2.0 - 3.0],(16.0 - 20.0],66.214
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],25.804
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],33.592
(30.494 - 34.87],(3 - 4],(9.0 - 14.0],(16.0 - 20.0],59.814
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],29.122
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],18.965
(30.494 - 34.87],(3 - 4],(14.0 - 93.0],(13.0 - 16.0],71.338
(30.494 - 34.87],[1 - 2],(2.0 - 3.0],(16.0 - 20.0],31.485
(30.494 - 34.87],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],47.581
(30.494 - 34.87],(3 - 4],(1.0 - 2.0],(16.0 - 20.0],81.935
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],10.869
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],12.231
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],16.791
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],11.314
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],14.635
