D,Spk,OS,SNR,DER
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(16.0 - 20.0],32.295
(30.494 - 34.87],(3 - 4],(14.0 - 93.0],(10.0 - 13.0],54.455
(30.494 - 34.87],(2 - 3],[0.0 - 1.0],(7.0 - 10.0],70.699
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],23.725
(30.494 - 34.87],(2 - 3],[0.0 - 1.0],(7.0 - 10.0],87.337
(18.792 - 30.494],(3 - 4],(14.0 - 93.0],(10.0 - 13.0],58.848
(18.792 - 30.494],(2 - 3],[0.0 - 1.0],(13.0 - 16.0],50.804
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],20.372
(34.87 - 95.677],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],40.73
(30.494 - 34.87],(2 - 3],(1.0 - 2.0],(13.0 - 16.0],83.144
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],27.174
(30.494 - 34.87],(3 - 4],(2.0 - 3.0],(16.0 - 20.0],39.8
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],25.215
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],41.207
(30.494 - 34.87],(3 - 4],(9.0 - 14.0],(16.0 - 20.0],37.485
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],24.757
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],12.675
(30.494 - 34.87],(3 - 4],(14.0 - 93.0],(13.0 - 16.0],51.152
(30.494 - 34.87],[1 - 2],(2.0 - 3.0],(16.0 - 20.0],27.603
(30.494 - 34.87],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],29.895
(30.494 - 34.87],(3 - 4],(1.0 - 2.0],(16.0 - 20.0],75.335
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],5.691
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],23.691
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],21.708
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],9.9
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],20.027
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],25.258
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],31.979
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],11.761
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],23.186
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],14.905
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],6.928
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],20.033
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],45.345
