D,Spk,OS,SNR,DER
(11.811 - 20.001],(3 - 4],[0.0 - 1.0],(21.0 - 25.0],62.175
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],83.846
(3.204 - 11.811],(10 - 41],[0.0 - 1.0],(21.0 - 25.0],83.382
(11.811 - 20.001],(10 - 41],(2.0 - 3.0],(25.0 - 29.0],64.061
(3.204 - 11.811],(5 - 7],(2.0 - 3.0],(8.0 - 10.0],85.326
(3.204 - 11.811],[1 - 2],(1.0 - 2.0],(29.0 - 36.0],83.429
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(13.0 - 17.0],78.59
(11.811 - 20.001],[1 - 2],(2.0 - 3.0],(29.0 - 36.0],85.115
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(29.0 - 36.0],101.141
(3.204 - 11.811],(7 - 10],(8.0 - 13.0],(8.0 - 10.0],99.759
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],70.742
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],63.162
(3.204 - 11.811],(4 - 5],(3.0 - 5.0],(29.0 - 36.0],67.277
(11.811 - 20.001],(4 - 5],(3.0 - 5.0],(13.0 - 17.0],95.354
(11.811 - 20.001],[1 - 2],(1.0 - 2.0],(36.0 - 59.0],74.553
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],87.392
(11.811 - 20.001],(5 - 7],(2.0 - 3.0],(25.0 - 29.0],86.543
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(13.0 - 17.0],84.801
(1.466 - 3.204],(2 - 3],(13.0 - 63.0],(17.0 - 21.0],77.645
(3.204 - 11.811],(3 - 4],(5.0 - 8.0],(17.0 - 21.0],96.085
(11.811 - 20.001],(7 - 10],(3.0 - 5.0],(25.0 - 29.0],76.925
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],128.877
(1.466 - 3.204],(4 - 5],[0.0 - 1.0],(21.0 - 25.0],71.707
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],87.052
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],79.249
(3.204 - 11.811],(5 - 7],(3.0 - 5.0],(29.0 - 36.0],76.797
(11.811 - 20.001],(10 - 41],(5.0 - 8.0],(25.0 - 29.0],74.741
(11.811 - 20.001],(10 - 41],(8.0 - 13.0],(21.0 - 25.0],84.473
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(13.0 - 17.0],84.848
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],87.319
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],84.656
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(21.0 - 25.0],57.652
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(8.0 - 10.0],94.707
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(13.0 - 17.0],90.96
(31.029 - 34.876],(3 - 4],(13.0 - 63.0],(10.0 - 13.0],80.735
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(8.0 - 10.0],70.471
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],79.501
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(4.0 - 8.0],81.424
(20.001 - 31.029],(3 - 4],(13.0 - 63.0],(10.0 - 13.0],79.608
(20.001 - 31.029],(2 - 3],[0.0 - 1.0],(13.0 - 17.0],79.704
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],85.913
(34.876 - 95.677],(3 - 4],(8.0 - 13.0],(21.0 - 25.0],76.821
(20.001 - 31.029],(2 - 3],(1.0 - 2.0],(13.0 - 17.0],80.893
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],74.994
(31.029 - 34.876],(3 - 4],(2.0 - 3.0],(17.0 - 21.0],82.015
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],89.645
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],81.227
(31.029 - 34.876],(3 - 4],(8.0 - 13.0],(17.0 - 21.0],71.785
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],89.379
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],78.379
(31.029 - 34.876],(3 - 4],(13.0 - 63.0],(13.0 - 17.0],74.879
(31.029 - 34.876],[1 - 2],(2.0 - 3.0],(17.0 - 21.0],88.554
(31.029 - 34.876],(3 - 4],(8.0 - 13.0],(13.0 - 17.0],73.492
(20.001 - 31.029],(3 - 4],(1.0 - 2.0],(17.0 - 21.0],68.889
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],179.3
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],342.383
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],482.048
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],220.536
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],456.98
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],148.513
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],332.19
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],200.653
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],188.911
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],269.165
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],183.882
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],196.439
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],298.533
(31.029 - 34.876],[1 - 2],(2.0 - 3.0],(13.0 - 17.0],547.462
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],199.176
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],215.944
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],162.64
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],174.793
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],227.558
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],159.572
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],299.52
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],228.221
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],211.92
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],219.51
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],501.966
(31.029 - 34.876],[1 - 2],(1.0 - 2.0],(17.0 - 21.0],339.125
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],291.034
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],248.702
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],524.352
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],471.942
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],140.049
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],228.225
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],212.389
(31.029 - 34.876],[1 - 2],(5.0 - 8.0],(13.0 - 17.0],387.091
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],369.441
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],168.471
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],211.969
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],124.953
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],449.921
(31.029 - 34.876],[1 - 2],(1.0 - 2.0],(17.0 - 21.0],271.491
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],120.116
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],358.251
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],226.129
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],541.634
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],181.081
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],226.294
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],214.39
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],214.921
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],163.993
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],184.75
(31.029 - 34.876],[1 - 2],(2.0 - 3.0],(13.0 - 17.0],401.678
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],271.5
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],309.536
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],327.86
